0,6,
0,13,
1,17,
1,23,
2,11,
2,18,
2,19,
2,21,
3,13,
3,15,
3,21,
4,11,
5,10,
5,20,
6,23,
7,20,
7,22,
8,13,
9,12,
9,16,
11,60,
12,23,
14,21,
15,20,
24,29,
25,38,
25,45,
25,48,
26,44,
27,28,
27,39,
28,34,
28,49,
29,35,
29,38,
29,46,
30,46,
30,47,
31,37,
32,41,
33,38,
35,44,
36,42,
37,41,
37,49,
37,104,
37,112,
37,114,
38,43,
40,45,
41,46,
42,44,
48,67,
50,55,
51,52,
51,63,
53,55,
53,61,
54,73,
55,64,
56,76,
57,73,
57,78,
57,79,
58,70,
59,64,
59,68,
60,63,
60,80,
60,81,
62,67,
64,70,
64,77,
65,67,
65,68,
66,81,
68,81,
69,71,
69,76,
72,75,
72,76,
74,82,
76,78,
77,78,
79,82,
83,110,
84,136,
85,88,
85,90,
85,102,
86,123,
87,101,
88,111,
89,110,
89,130,
89,141,
90,113,
91,98,
91,105,
91,117,
92,104,
92,119,
92,128,
93,107,
94,113,
95,104,
96,98,
97,119,
98,143,
99,115,
99,127,
100,119,
100,131,
100,132,
101,143,
102,124,
102,131,
102,145,
103,148,
104,113,
105,106,
106,135,
107,124,
108,126,
108,147,
109,121,
110,131,
110,140,
110,146,
112,149,
113,118,
116,126,
117,150,
118,134,
119,121,
119,142,
120,136,
122,141,
123,138,
124,150,
125,143,
126,141,
127,148,
128,136,
129,143,
133,141,
133,144,
133,148,
137,149,
138,149,
139,150,
141,150,
