0,15,
0,34,
0,53,
1,42,
1,47,
2,32,
3,6,
3,17,
3,38,
4,46,
5,15,
5,29,
5,39,
6,19,
6,79,
6,133,
6,144,
7,12,
7,14,
7,32,
8,15,
9,22,
10,47,
10,50,
11,17,
13,48,
13,55,
15,35,
15,43,
16,22,
16,30,
18,23,
18,28,
18,51,
20,28,
21,36,
21,37,
21,54,
22,40,
23,32,
24,29,
25,31,
25,39,
25,45,
26,51,
27,45,
27,47,
30,35,
32,42,
32,48,
33,45,
33,52,
35,46,
38,42,
38,45,
41,45,
41,54,
44,54,
47,49,
56,111,
57,87,
58,74,
58,78,
59,104,
60,71,
61,62,
61,76,
63,68,
63,142,
64,89,
64,132,
65,67,
65,74,
65,143,
66,76,
66,92,
66,122,
66,147,
69,71,
69,77,
69,80,
70,109,
71,132,
72,96,
72,128,
73,76,
74,110,
74,114,
75,92,
75,97,
76,99,
79,107,
79,124,
80,120,
81,92,
81,111,
81,139,
81,141,
82,91,
83,96,
83,131,
83,165,
84,117,
84,126,
85,101,
85,109,
86,128,
86,146,
87,147,
88,101,
88,130,
89,126,
89,132,
90,107,
90,133,
91,123,
92,102,
92,116,
93,123,
94,103,
94,129,
94,136,
95,96,
97,119,
97,138,
98,121,
98,146,
100,137,
101,107,
104,110,
105,144,
106,118,
106,144,
108,114,
108,140,
110,113,
110,128,
112,122,
112,127,
112,143,
113,146,
115,135,
115,145,
116,170,
123,141,
124,137,
124,139,
124,142,
125,132,
125,134,
126,145,
128,139,
132,137,
135,139,
136,141,
136,142,
148,159,
148,161,
149,153,
149,162,
149,168,
150,156,
150,159,
150,166,
151,168,
152,158,
152,159,
153,159,
153,164,
154,158,
155,164,
157,163,
157,166,
158,160,
158,165,
159,169,
165,167,
170,205,
170,253,
171,174,
172,173,
172,228,
173,183,
173,219,
173,252,
174,180,
174,224,
174,225,
174,233,
175,189,
176,187,
176,222,
177,194,
177,198,
177,207,
178,208,
178,217,
178,224,
179,252,
180,184,
180,245,
180,256,
181,228,
181,234,
181,244,
182,203,
182,213,
184,236,
184,238,
185,205,
185,241,
186,208,
186,226,
188,209,
188,241,
189,193,
189,219,
190,198,
190,239,
191,194,
192,203,
193,194,
193,216,
194,211,
194,212,
194,255,
195,245,
196,221,
197,235,
198,249,
199,226,
200,203,
200,235,
201,214,
201,244,
202,229,
202,247,
203,248,
204,236,
205,215,
205,218,
206,231,
206,241,
208,227,
208,235,
210,241,
214,232,
215,246,
218,220,
218,254,
219,230,
221,242,
221,251,
222,247,
223,234,
223,240,
228,243,
229,244,
231,254,
233,251,
234,241,
235,250,
236,237,
244,245,
245,250,
